,Shutter (mV)
1578,4931.0303
1579,4930.725
1580,4931.0303
1581,4930.725
1582,4931.6406
1583,4931.3354
1584,4931.946
1585,4930.42
1586,4931.3354
1587,4931.3354
1588,4931.3354
1589,4930.1147
1590,4931.3354
1591,4932.251
1592,4931.0303
1593,4933.4717
1594,4931.3354
1595,4931.3354
1596,4931.6406
1597,4931.3354
1598,4931.6406
1599,4930.725
1600,4931.946
1601,4931.3354
1602,4931.6406
1603,4931.0303
1604,4931.3354
1605,4930.725
1606,4931.0303
1607,4930.42
1608,4931.0303
1609,4931.3354
1610,4931.3354
1611,4931.3354
1612,4931.3354
1613,4930.725
1614,4931.946
1615,4931.946
1616,4931.3354
1617,4931.0303
1618,4931.0303
1619,4931.0303
1620,4930.1147
1621,4931.6406
1622,4931.6406
1623,4931.0303
1624,4931.3354
1625,4931.3354
1626,4931.0303
1627,4931.0303
1628,4930.725
1629,4931.6406
1630,4931.6406
1631,4930.725
1632,4931.6406
1633,4931.946
1634,4931.6406
1635,4931.3354
1636,4931.946
1637,4931.0303
1638,4931.3354
1639,4931.6406
1640,4930.725
1641,4931.3354
1642,4931.3354
1643,4932.251
1644,4931.6406
1645,4930.725
1646,4931.6406
1647,4931.0303
1648,4931.0303
1649,4931.0303
1650,4930.725
1651,4931.3354
1652,4931.6406
1653,4930.725
1654,4931.946
1655,4931.3354
1656,4930.42
1657,4930.42
1658,4931.946
1659,4930.725
1660,4931.3354
1661,4932.251
1662,4931.0303
1663,4931.946
1664,4931.0303
1665,4931.6406
1666,4931.946
1667,4931.0303
1668,4931.0303
1669,4930.725
1670,4930.725
1671,4931.0303
1672,4931.3354
1673,4931.0303
1674,4931.0303
1675,4931.0303
1676,4931.6406
1677,4931.6406
1678,4932.8613
1679,4931.3354
1680,4932.251
1681,4931.0303
1682,4931.3354
1683,4931.3354
1684,4931.0303
1685,4931.0303
1686,4930.725
1687,4931.946
1688,4931.6406
1689,4931.6406
1690,4932.251
1691,4930.725
1692,4931.0303
1693,4931.3354
1694,4930.1147
1695,4931.3354
1696,4931.6406
1697,4931.946
1698,4931.0303
1699,4931.3354
1700,4931.6406
1701,4930.1147
1702,4931.0303
1703,4931.0303
1704,4931.3354
1705,4931.0303
1706,4930.42
1707,4930.725
1708,4931.3354
1709,4931.3354
1710,4931.0303
1711,4931.6406
1712,4931.0303
1713,4930.725
1714,4931.3354
1715,4931.6406
1716,4930.725
1717,4931.3354
1718,4931.946
1719,4931.946
1720,4931.0303
1721,4931.3354
1722,4931.0303
1723,4931.3354
1724,4931.0303
1725,4931.0303
1726,4931.946
1727,4931.3354
1728,4931.0303
1729,4931.0303
1730,4931.0303
1731,4931.6406
1732,4930.725
1733,4931.3354
1734,4931.3354
1735,4931.6406
1736,4932.251
1737,4930.725
1738,4930.725
1739,4931.6406
1740,4931.3354
1741,4931.0303
1742,4930.725
1743,4931.3354
1744,4931.3354
1745,4931.3354
1746,4930.725
1747,4931.3354
1748,4931.3354
1749,4931.6406
1750,4930.725
